"№","Yo'nalish","Komponent / Vazifa","Tanlangan texnologiya","Muqobil variant","Tanlov sababi","Faza","Amaliy eslatma"
"1","Frontend (MVP)","Telegram Mini App platforma","Telegram Web App SDK (telegram-web-app.js)","—","MVP TMA bo'lgani uchun majburiy; initData auth, haptic, theme, BackButton API beradi","MVP","Webview cheklovlari bor — 'Apple-tajriba' va'dasini realga moslang"
"2","Frontend (MVP)","UI framework","React + Vite + TypeScript","Vue / Svelte","Katta ekotizim, TMA SDK bilan yaxshi ishlaydi, jamoa topish oson","MVP","Bundle hajmini kichik tut (webview tez ochilishi uchun)"
"3","Frontend (MVP)","Stillar / dizayn tizimi","Tailwind CSS + CSS o'zgaruvchilar (design tokens)","Styled-components","Tez prototip, dizayn token (rang/spacing/radius) markazlashtirilgan","MVP","Variant A palitra default, Variant B = Platinum qora rejim"
"4","Frontend (MVP)","Animatsiya (spring fizika)","Framer Motion","React Spring","Spring/elastik svayp, match, sovg'a animatsiyalari uchun deklarativ va kuchli","MVP","60fps uchun GPU-transform (translate/scale) ishlat, layout-thrash dan qoch"
"5","Frontend (MVP)","Svayp kartalari","@use-gesture + Framer Motion","react-tinder-card","Drag fizikasi ustidan to'liq nazorat (rubber-band, blur orqa fon)","MVP","Karta stack faqat 2-3 ta render qilinsin (performans)"
"6","Frontend (MVP)","Sovg'a animatsiyasi","Lottie (lottie-web)","GIF / video","3D/uchuvchi sovg'a animatsiyasi yengil va silliq","MVP","Lottie fayllarni oldindan keshla (chatda kechikmasin)"
"7","Frontend (MVP)","Haptik va native his","Telegram WebApp.HapticFeedback","navigator.vibrate","Match=kuchli, tugma=yengil, sovg'a=titrash; TMA native API","MVP","Webview'da cheklangan — graceful fallback qil"
"8","Frontend (MVP)","State management","Zustand + TanStack Query","Redux Toolkit","Zustand=lokal, TanStack=server-state/kesh; soddaroq va yengil","MVP","Server-state'ni Reduxda saqlama — TanStack Query ishlat"
"9","Frontend (MVP)","Real-time (chat)","Socket.IO client","raw WebSocket","Auto-reconnect, room, fallback — chat va onlayn holat uchun","MVP","Online presence Redis bilan sinxron"
"10","Backend","Asosiy framework","NestJS (Node.js + TypeScript)","Go (Fiber) / FastAPI","Strukturali, real-time va REST uchun mos, TS frontend bilan bir til","MVP","Modullarga bo'l: auth, profile, match, chat, payment, gift"
