"№","Bosqich","Ekran / Komponent","Foydalanuvchi harakati","Tizim / Backend logikasi","UI/UX dizayn (Apple-style)","Holatlar (Loading / Empty / Error)","Maqsad / KPI","Xavf va eslatma"
"1","A. Onboarding & Auth","Telegram Start","Botga /start bosib 'Ilovani ochish' tugmasini bosadi","Bot Telegram initData (user_id, hash) yuboradi; backend hash'ni bot tokeni bilan tekshiradi (HMAC-SHA256) va sessiya ochadi","Telegram native splash, hech qanday ortiqcha yuklash yo'q; brend logosi 0.4s fade-in","Loading: skeleton splash; Error: 'Qayta urinib ko'ring' tugmasi","Frictionless kirish; KPI: start->open konversiya >90%","initData hash tekshiruvsiz qabul qilinmasin (spoofing xavfi)"
"2","A. Onboarding & Auth","Avtorizatsiya (Auth)","Hech narsa — Telegram ism va avatarini avtomatik o'qiydi","Telegram profil ma'lumotini DB'ga yozadi (yangi user bo'lsa onboarding_step=1)","Skeleton loading -> ma'lumot fade-in; 'Salom, {ism}!' iliq matn","Loading: avatar skeleton; Error: qo'lda ism kiritish fallback","Qo'lda kiritishdan qutqarish; KPI: drop-off <5%","Telegram avatari = nol verifikatsiya. Bu faqat boshlang'ich, selfie (qadam 6) majburiy"
"3","A. Onboarding & Auth","Yosh va Jins","18+ tasdiqlash + jinsni tanlash (yigit/qiz)","Yosh 18 dan kichik bo'lsa hisob bloklanadi va o'chiriladi; jins matching algoritmiga yoziladi","Katta bosishga qulay segmented control; tanlovda yengil haptic 'taq'","Error: 18 dan kichik -> muloyim rad etish ekrani","Yuridik xavfsizlik + matching bazasi; KPI: to'ldirish >95%","Yoshni keyin o'zgartirib bo'lmasligi (yoki moderatsiya orqali) — firibgarlikka qarshi"
"4","A. Onboarding & Auth","Niyatni tanlash","Jiddiy munosabat / Do'stlashish / Hali bilmayman","Niyat profilga yoziladi va matching filtriga ta'sir qiladi","Elastik kartochkalar, bosilganda spring sakrash; bitta ekran bitta savol","Default: 'Hali bilmayman' tanlangan","Kutilmani to'g'ri belgilash; segmentatsiya","Konservativ auditoriya uchun 'Do'stlashish' rejimini ajratib ko'rsatish (madaniy qabul)"
"5","A. Onboarding & Auth","Rasm yuklash","2-6 ta rasm yuklaydi (kamera yoki galereya)","Har bir rasm AI moderatsiyaga (NSFW/yuz bormi) yuboriladi; obyekt-storage'ga (S3) saqlanadi","Drag-to-reorder grid, birinchi rasm = asosiy; yumshoq burchak (radius 16)","Empty: 'Eng yaxshi suratingni qo'sh' placeholder; Error: NSFW rad etish","Sifatli profil; KPI: >=3 rasm yuklash","Kamida 1 ta aniq yuz bo'lgan rasm majburiy (qadam 6 matching uchun)"
"6","A. Onboarding & Auth","Selfie verifikatsiya","Tasodifiy challenge bajaradi: ko'z qisish / bosh burish / jilmayish","Python verify-servis: (1) MediaPipe liveness (jonli odammi), (2) DeepFace/ArcFace selfie<->avatar match (cosine); natija verified=true/false","To'liq ekran kamera, markazda oval ramka, real-time ko'rsatma matni; muvaffaqiyatda yashil tasdiq animatsiyasi + haptic","Loading: 'Tekshirilmoqda...'; Error: 'Yuz aniqlanmadi, qayta urin'; Fail: qo'lda moderatsiyaga yuborish","Soxta profil va botni keskin kamaytirish; 'Tasdiqlangan' nishon","Spoofing (rasmning rasmi) eng katta xavf — anti-spoofing model majburiy; ma'lumot mahalliy serverda"
"7","A. Onboarding & Auth","Bio va savol-javob (prompt)","2-3 ta Hinge uslubidagi promptga javob yozadi ('Mening orzuyim...', 'Meni qanday hayratga solish mumkin...')","Javoblar profilga yoziladi; AI moderatsiya matn tahqir/kontakt-almashinuvi uchun","Karta ko'rinishida tahrirlanadigan promptlar; klaviatura ustida 'Keyingi'","Empty: tavsiya etilgan prompt namunalari","Suhbat boshlash uchun tabiiy bahona; profil jonliligi","Telefon raqami/Telegram username bio'ga yozish taqiqlansin (moderatsiya)"
"8","A. Onboarding & Auth","Ruxsatlar va yakun","Bildirishnoma ruxsati (push), ixtiyoriy joylashuv","Push token (Telegram/Firebase) saqlanadi; onboarding_step=done","Ilhomlantiruvchi yakun ekrani, konfetti emas — yumshoq yorug'lik animatsiyasi","—","Retention uchun push yoqish; KPI: push opt-in >60%","Joylashuv ixtiyoriy — majburlamaslik (maxfiylik)"
"9","B. Asosiy sikl","Asosiy ekran (Kashfiyot / Svayp)","Kartani o'ngga (yoqdi), chapga (o'tkazish), tepaga (Super Like) svayp","Matching algoritm: niyat+jins+yosh+joylashuv+faollik+Trust Score bo'yicha navbat (queue) qaytaradi; har svayp DB'ga yoziladi","Glassmorphism menyu orqasidan kartalar; karta chetga tortilganda spring cho'zilish; 60fps","Loading: karta skeleton; Empty: 'Hozircha shu, keyinroq qaytib kel' + Boost taklifi","Core Loop — o'ziga tortuvchi asosiy mexanika; KPI: kunlik svayp soni","Bepul kunlik svayp limiti (Plus = cheksiz). Karta tugashi (empty state) majburiy ishlangan bo'lsin"
"10","B. Asosiy sikl","Filtrlar","Yosh oralig'i, masofa, niyat bo'yicha filtrlash","Filtr matching so'roviga qo'shiladi; kengaytirilgan filtr = Gold funksiyasi","Pastdan ko'tariladigan glass sheet; sliderlar haptic bilan","—","Personalizatsiya; Gold'ga undash","Kengaytirilgan filtr paywall orqasida — lekin asosiy filtr bepul"
"11","B. Asosiy sikl","Profil detali","Kartani bosib to'liq profilni ko'radi (rasmlar, bio, promptlar, nishonlar)","Profil ko'rish hodisasi yoziladi (kim ko'rdi analitikasi)","Skroll qilinganda parallax rasmlar; sarlavha tepaga qisqaradi; 'Tasdiqlangan' nishon ko'rinadi","Loading: progressive rasm yuklash (blur-up)","Ongli yoqtirish; sifatli match","Block/Report tugmasi shu yerda ham bo'lsin (uchburchak menyu)"
"12","B. Asosiy sikl","Super Like / Boost","Super Like (tepaga svayp) yoki Boost sotib olib faollashtirish","Super Like maxsus belgisi bilan yuboriladi; Boost 30 daqiqaga ko'rinishni queue tepasiga chiqaradi","Super Like = yulduz animatsiyasi + kuchli haptic; Boost = profil atrofida nur","Error: balans yetmasa -> Coin store","E'tibor bildirish; IAP daromad","Bepul haftalik Super Like (Plus = 5/hafta) — paywall balansi"
